COP,MFOL,MOL1,MOL2,MOL3,MOL4,DAO
MARCKS,CTPS,IL33,IL33,HCN2,KLK6,PTGDS
RTN1,CNTN1,JPH4,PTGDS,PLIN3,S100B,APOE
BCAN,MAN1A,PTGDS,C030029H02RIK,SERPINB1A,PMP22,FCER1G
TNR,SYNPR,C030029H02RIK,CD63,HAPLN2,ENPP6,CSF1R
GRIA2,TMEM141,CLMN,OPALIN,SPOCK3,SELENOP,SLC1A2
PTPRZ1,BTBD16,CCP110,APOE,SELENOP,CD59A,CTSS
GPR17,ABLIM2,OPALIN,SEMA6D,GNG11,MGST3,HBA-A1
SOX4,H2-AB1,TMOD1,TMOD1,ETV1,SLCO3A1,TYROBP
9630013A20RIK,THBS3,SEMA6D,GSTP1,GLUL,ANLN,CLU
GPR37L1,SLC9A3R2,HEBP1,HEBP1,SEZ6L2,NKX2-9,C1QC
TMEM176B,GM13889,SPOCK1,PLEKHA1,ANLN,UCHL1,DUSP1
OPCML,PLEKHA1,MAGI1,GRB14,PMP22,CDKN1C,RGS10
VCAN,PRICKLE1,TENT5A,CLMN,SLCO3A1,PLIN3,C4B
TUBB2B,TMEM178,PEX5L,MT1,PCOLCE2,SPOCK3,GPR34
SLC1A1,FAM214A,HTRA1,CCP110,CAVIN3,HAPLN2,H2-K1
NEU4,CHADL,SORT1,BFSP2,SPOCK1,RND2,NDRG2
C1QL1,CRTAC1,SLC38A2,HTRA1,44812,RASGRP3,CD63
LSAMP,TTYH1,GRB14,DESI1,APOD,USP31,OPALIN
SCRG1,JCAD,DAAM1,ADAMTS1,TMEM144,ANXA5,MT1
SERPINE2,RAP2A,ERBIN,CD9,ITGB4,TSPAN9,C1QB
LHFPL3,TMEM163,MAST4,LGI3,USP31,2700046A07RIK,CD74
PPP1R14B,RAP1GAP,SLK,NDRG2,SEC11C,PLA2G4A,LAPTM5
BASP1,BMP1,NUDT4,NUDT4,PEX5L,RAPGEF5,LY86
SHISAL1,NINJ1,PDE8A,PRICKLE1,INPP5F,SERPINB1A,CST3
RGCC,ICK,TMEM229A,CSRP1,ZDHHC20,MAPRE2,BMP2K
TIMP4,SH3GL3,PRR18,CAVIN3,KCTD13,S100A6,ECRG4
ITPR2,KIRREL3,FAM13C,QDPR,ATP1B3,TPPP3,HEXB
FYN,MCAM,CEP97,CAMK2N1,FBXO2,LDHB,IL33
FABP7,PCDH7,CD63,TSPAN2,GJB1,HCN2,TMEM59L
GNG3,MGLL,NFIA,ABCA8A,CAR2,CPD,OLFML3
